time,cpu,memory
2026-05-18 19:42:48,6,58
2026-05-18 19:42:50,6,58
2026-05-18 19:42:53,6,58
2026-05-18 19:42:55,6,58
2026-05-18 19:42:57,6,58
2026-05-18 19:42:59,6,58
2026-05-18 19:43:01,6,58
2026-05-18 19:43:03,13,58
2026-05-18 19:43:06,13,58
2026-05-18 19:43:08,13,58
2026-05-18 19:43:10,13,58
2026-05-18 19:43:12,13,58
2026-05-18 19:43:14,13,58
2026-05-18 19:43:16,13,58
2026-05-18 19:43:18,6,58
2026-05-18 19:43:21,6,58
2026-05-18 19:43:23,6,58
2026-05-18 19:43:25,6,58
2026-05-18 19:43:27,6,58
2026-05-18 19:43:29,6,58
2026-05-18 19:43:31,6,58
2026-05-18 19:43:33,6,58
2026-05-18 19:43:36,6,58
2026-05-18 19:43:38,6,58
2026-05-18 19:43:40,6,58
2026-05-18 19:43:42,6,58
2026-05-18 19:43:44,6,58
2026-05-18 19:43:46,6,58
2026-05-18 19:43:48,6,58
