Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779113375,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1779113376,44,,Aggregated,0.000000,0.000000,6,7,8,8,9,11,13,14,17,18,18,2376,0,6,6.1027464010873125,0.7848730001569493,17.90047800022876,46.39520202020202
1779113377,69,,Aggregated,0.000000,0.000000,10,12,13,13,14,16,18,19,22,25,25,5586,0,10,9.628775235051588,0.7848730001569493,24.52375199936796,42.23952738990333
1779113378,88,,Aggregated,4.000000,0.000000,13,15,16,17,19,20,22,24,29,30,30,8864,0,13,12.463800548390497,0.7848730001569493,30.04132599926379,40.861913357400724
1779113379,104,,Aggregated,1225.500000,0.000000,15,18,19,20,22,24,26,28,32,33,34,12195,0,15,14.8198817672747,0.7848730001569493,33.69224400012172,39.87945879458795
1779113380,119,,Aggregated,1882.333333,0.000000,18,20,22,24,26,28,31,34,44,49,49,15446,0,18,17.13932105632061,0.7848730001569493,49.31245000079798,39.473844360999614
1779113382,132,,Aggregated,2443.400000,0.000000,19,23,25,27,30,32,36,40,58,62,65,18728,0,19,19.335343214811665,0.7848730001569493,65.09075999929337,39.00325715506194
1779113383,140,,Aggregated,2577.500000,0.000000,21,26,28,29,32,35,38,41,56,61,65,22064,0,21,21.115238274024495,0.7848730001569493,65.09075999929337,38.534943799854965
1779113384,149,,Aggregated,2674.857143,0.000000,23,28,30,32,35,38,41,43,56,61,65,25353,0,23,22.814939928257232,0.7848730001569493,65.09075999929337,38.21752849761369
1779113385,162,,Aggregated,2756.000000,0.000000,25,29,32,33,37,41,45,48,60,68,70,28507,0,25,24.45447270695183,0.7848730001569493,69.76728500012541,38.195566001333006
1779113386,175,,Aggregated,2810.888889,0.000000,27,31,34,35,40,44,48,51,61,70,72,31757,0,27,25.97564152165183,0.7848730001569493,71.98867300030543,38.13597002235728
1779113387,184,,Aggregated,2843.100000,0.000000,28,33,36,37,42,47,53,56,65,73,82,34935,0,28,27.53797360217772,0.7848730001569493,81.79398599895649,38.01952196937169
1779113388,195,,Aggregated,3166.100000,0.000000,30,34,38,40,47,52,58,61,91,120,120,37938,0,30,29.32538497058702,0.7848730001569493,118.53339399931428,37.89904581158733
1779113389,191,,Aggregated,3237.800000,0.000000,31,36,40,42,49,54,59,63,87,100,120,41250,0,31,30.729660892876264,0.7848730001569493,118.53339399931428,37.39568484848485
1779113390,154,,Aggregated,3217.300000,0.000000,32,37,40,43,49,54,59,62,87,100,120,44572,0,32,31.444076234634817,0.7848730001569493,118.53339399931428,36.389908462712015
1779113391,104,,Aggregated,3215.900000,0.000000,32,36,40,42,49,53,59,62,86,100,120,47934,0,32,31.33199401804662,0.7848730001569493,118.53339399931428,35.51308048566779
1779113392,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
1779113393,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
1779113394,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
1779113395,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
1779113396,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
1779113397,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
1779113398,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
1779113399,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
1779113400,0,,Aggregated,3215.900000,0.000000,31,36,39,42,48,53,58,62,86,100,120,50500,0,31,30.49283574596123,0.7620659998792689,118.53339399931428,34.92241584158416
