Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779117662,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1779117663,49,,Aggregated,0.000000,0.000000,3,3,4,4,5,6,12,400,520,520,520,454,0,3,9.089386894248944,1.5111700013221707,520.182565000141,165.65198237885463
1779117664,87,,Aggregated,0.000000,0.000000,3,4,4,5,7,9,16,400,1100,1400,1400,1229,0,3,11.898180775435627,1.274627999009681,1422.68946600052,137.3685923515053
1779117665,132,,Aggregated,447.000000,0.000000,3,4,5,5,8,11,21,420,2500,2500,2500,1738,0,3,19.931654944193472,1.235525000083726,2527.825515000586,153.5247410817031
1779117666,173,,Aggregated,612.500000,0.000000,3,4,5,6,8,13,24,400,2500,3500,3500,2310,0,3,20.063623231169803,1.235525000083726,3498.9183219986444,135.35844155844157
1779117667,217,,Aggregated,577.000000,0.000000,3,4,5,6,8,14,24,400,3500,4300,4300,2518,0,3,22.131570796661332,1.235525000083726,4319.947159001458,134.67355043685464
1779117668,263,,Aggregated,577.000000,0.000000,3,4,5,6,9,14,24,29,3500,4300,4300,2626,0,3,21.449639249431442,1.235525000083726,4319.947159001458,130.11766945925362
1779117669,310,,Aggregated,502.800000,0.000000,3,4,5,6,9,15,24,400,4300,6300,6300,2731,0,3,25.208415787628635,1.235525000083726,6272.08735000022,133.88941779567924
1779117670,356,,Aggregated,437.666667,0.000000,3,5,5,6,9,16,24,400,6600,7300,7300,3150,0,3,33.38111643714954,1.235525000083726,7270.311321000918,136.2863492063492
1779117671,398,,Aggregated,389.571429,0.000000,3,5,6,7,10,17,24,420,7500,7900,7900,3834,0,3,44.18070697261351,1.235525000083726,7879.704547998699,138.62415232133543
1779117672,438,,Aggregated,392.500000,0.000000,3,5,6,7,10,18,25,420,8500,8900,8900,4582,0,3,50.7991275875221,1.235525000083726,8859.853699999803,136.28131820165868
1779117673,452,,Aggregated,424.111111,0.000000,3,5,6,7,10,19,25,400,8600,9400,9400,5061,0,3,51.815954181393444,1.1982769992755493,9383.076270998572,132.00493973523018
1779117674,449,,Aggregated,457.000000,0.000000,3,5,6,7,11,20,26,850,10000,11000,11000,5716,0,3,69.3609613631916,1.1982769992755493,10586.938205000479,144.0173198040588
1779117675,438,,Aggregated,460.700000,0.000000,4,5,7,8,12,21,27,990,11000,12000,12000,6907,0,4,80.84068636788975,1.1982769992755493,11502.491039998858,145.04806717822498
1779117676,428,,Aggregated,446.600000,0.000000,5,6,8,9,15,23,29,1400,11000,13000,13000,8304,0,5,93.64781089703526,1.1982769992755493,12774.292177999087,147.9203998073218
1779117677,416,,Aggregated,514.300000,0.000000,5,7,9,11,18,25,32,1400,12000,14000,14000,9786,0,5,98.1320740767429,1.1982769992755493,13800.364370001262,144.48436541998774
1779117678,401,,Aggregated,595.800000,0.000000,6,9,11,12,20,26,32,1000,12000,15000,15000,11265,0,6,101.78470445592758,1.1982769992755493,14938.379727998836,141.03071460275189
1779117679,382,,Aggregated,723.600000,0.000000,6,9,11,13,20,26,32,500,13000,15000,15000,12690,0,6,99.44149329677047,1.1982769992755493,15057.147736000843,134.63884948778565
1779117680,369,,Aggregated,859.300000,0.000000,6,8,10,12,19,26,32,520,14000,16000,16000,13908,0,6,105.16908772368605,1.1982769992755493,16428.04876000082,135.7397181478286
1779117681,355,,Aggregated,992.000000,0.000000,6,8,10,12,19,25,32,500,14000,16000,16000,15025,0,6,107.51913434342958,1.1982769992755493,16447.68108400058,134.56346089850248
1779117682,347,,Aggregated,1072.600000,0.000000,6,8,10,12,19,25,32,1000,15000,18000,18000,16249,0,6,116.14548042033806,1.1982769992755493,18185.211584999706,137.45110468336512
