time,cpu,memory
2026-05-19 03:07:28,0,0
2026-05-19 03:07:30,0,0
2026-05-19 03:07:32,0,0
2026-05-19 03:07:34,0,0
2026-05-19 03:07:36,0,0
2026-05-19 03:07:38,0,0
2026-05-19 03:07:40,0,0
2026-05-19 03:07:42,1979,87
2026-05-19 03:07:45,1979,87
2026-05-19 03:07:47,1979,87
2026-05-19 03:07:49,1979,87
2026-05-19 03:07:51,1979,87
2026-05-19 03:07:53,1979,87
2026-05-19 03:07:55,1979,87
2026-05-19 03:07:57,1285,104
2026-05-19 03:07:59,1285,104
2026-05-19 03:08:01,1285,104
2026-05-19 03:08:04,1285,104
2026-05-19 03:08:06,1285,104
2026-05-19 03:08:08,1285,104
2026-05-19 03:08:10,1285,104
2026-05-19 03:08:12,3635,280
2026-05-19 03:08:14,3635,280
2026-05-19 03:08:16,3635,280
2026-05-19 03:08:19,3635,280
2026-05-19 03:08:21,3635,280
2026-05-19 03:08:23,3635,280
2026-05-19 03:08:25,3635,280
2026-05-19 03:08:27,2327,373
