time,cpu,memory
2026-05-18 21:22:06,588,285
2026-05-18 21:22:08,588,285
2026-05-18 21:22:10,588,285
2026-05-18 21:22:12,588,285
2026-05-18 21:22:15,588,285
2026-05-18 21:22:17,588,285
2026-05-18 21:22:19,2495,287
2026-05-18 21:22:21,2495,287
2026-05-18 21:22:23,2495,287
2026-05-18 21:22:25,2495,287
2026-05-18 21:22:28,2495,287
2026-05-18 21:22:30,2495,287
2026-05-18 21:22:32,2495,287
2026-05-18 21:22:34,10600,286
2026-05-18 21:22:36,10600,286
2026-05-18 21:22:38,10600,286
2026-05-18 21:22:40,10600,286
2026-05-18 21:22:43,10600,286
2026-05-18 21:22:45,10600,286
2026-05-18 21:22:47,10600,286
2026-05-18 21:22:49,721,286
2026-05-18 21:22:51,721,286
2026-05-18 21:22:53,721,286
2026-05-18 21:22:55,721,286
2026-05-18 21:22:58,721,286
2026-05-18 21:23:00,721,286
2026-05-18 21:23:02,721,286
2026-05-18 21:23:04,18,286
