time,cpu,memory
2026-05-18 21:31:25,24,355
2026-05-18 21:31:27,24,355
2026-05-18 21:31:29,24,355
2026-05-18 21:31:31,24,355
2026-05-18 21:31:34,400,356
2026-05-18 21:31:36,400,356
2026-05-18 21:31:38,400,356
2026-05-18 21:31:40,400,356
2026-05-18 21:31:42,400,356
2026-05-18 21:31:44,400,356
2026-05-18 21:31:46,400,356
2026-05-18 21:31:49,734,357
2026-05-18 21:31:51,734,357
2026-05-18 21:31:53,734,357
2026-05-18 21:31:55,734,357
2026-05-18 21:31:57,734,357
2026-05-18 21:31:59,734,357
2026-05-18 21:32:01,734,357
2026-05-18 21:32:03,66,357
2026-05-18 21:32:05,66,357
2026-05-18 21:32:08,31,237
2026-05-18 21:32:10,31,237
2026-05-18 21:32:12,27,178
2026-05-18 21:32:14,27,178
2026-05-18 21:32:16,27,178
2026-05-18 21:32:18,13,178
2026-05-18 21:32:20,13,178
2026-05-18 21:32:22,13,178
2026-05-18 21:32:25,13,178
