episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
1,7.6646,0.1533,52.15,251.99,112.82,59.78,128,901.80,302.69,88.75,50
2,4.3330,0.0867,350.99,240.59,8941.61,352.63,192,885.73,297.65,87.53,50
3,7.5792,0.1516,6.46,58.23,31.99,59.05,128,937.39,254.80,94.64,50
4,6.6533,0.1331,88.73,87.37,366.09,73.36,256,972.25,302.06,89.24,50
5,8.0265,0.1605,28.50,69.96,77.57,64.44,192,872.17,288.34,97.95,50
6,7.2172,0.1443,7.30,69.96,37.71,59.15,192,919.82,317.64,89.63,50
7,6.5045,0.1301,86.49,684.57,2525.74,361.16,256,985.06,296.77,97.73,50
8,5.4719,0.1094,46.37,497.22,1112.05,241.47,192,877.69,285.73,86.08,50
9,9.6119,0.1922,28.50,69.96,77.57,64.44,192,837.40,266.77,99.42,50
10,5.7526,0.1151,22.12,497.22,468.13,209.53,192,883.67,262.90,89.67,50
11,6.3686,0.1274,161.86,240.59,3586.50,285.01,192,823.53,316.21,90.99,50
12,4.9898,0.0998,8.26,130.13,35.35,239.43,128,809.56,270.54,99.02,50
13,5.5508,0.1110,8.26,130.13,35.35,239.43,128,819.04,288.05,92.47,50
14,6.0683,0.1214,46.37,497.22,1112.05,241.47,192,882.58,270.81,97.56,50
15,8.0936,0.1619,209.56,253.93,1552.49,206.21,192,856.00,265.02,87.07,50
16,6.2979,0.1260,122.70,251.99,1669.30,288.55,128,801.74,242.51,98.42,50
17,7.4312,0.1486,7.30,69.96,37.71,59.15,192,864.18,256.86,97.63,50
18,5.7451,0.1149,3.09,43.06,12.31,58.00,256,876.95,281.96,99.22,50
19,7.8098,0.1562,82.55,419.70,2182.61,321.10,256,791.02,263.32,90.01,50
20,6.3731,0.1275,38.09,130.12,1085.72,271.61,128,846.97,281.11,89.01,50
21,4.6458,0.0929,2.99,34.93,11.75,57.47,128,955.19,312.21,87.15,50
22,5.0820,0.1016,118.53,130.11,3499.14,360.50,128,843.39,270.17,89.78,50
23,5.8331,0.1167,196.95,130.11,7756.61,394.46,128,842.32,304.17,99.29,50
24,6.0342,0.1207,46.37,497.22,1112.05,241.47,192,931.68,298.37,94.28,50
25,6.5718,0.1314,161.86,240.59,3586.50,285.01,192,781.88,285.23,89.70,50
26,7.0241,0.1405,122.70,251.99,1669.30,288.55,128,805.65,248.43,89.54,50
27,7.6672,0.1533,10.67,58.23,64.12,60.14,128,868.97,292.87,88.37,50
28,6.3414,0.1268,321.28,419.71,9746.25,405.04,256,991.44,300.51,97.23,50
29,6.3543,0.1271,38.09,130.12,1085.72,271.61,128,828.23,241.92,89.27,50
30,4.4128,0.0883,29.62,684.57,503.88,225.55,256,816.95,309.35,85.65,50
31,5.8654,0.1173,6.91,43.07,37.08,58.92,256,730.10,297.26,100.00,50
32,7.4751,0.1495,3.49,69.96,7.57,54.20,192,889.89,262.37,99.00,50
33,8.3818,0.1676,22.12,497.22,468.13,209.53,192,887.71,285.06,91.24,50
34,5.2137,0.1043,350.99,240.59,8941.61,352.63,192,962.56,315.92,99.47,50
35,7.0969,0.1419,20.02,43.06,183.09,63.56,256,922.05,299.15,91.42,50
36,7.2185,0.1444,245.46,419.71,6992.43,398.38,256,882.25,291.21,90.64,50
37,6.5681,0.1314,18.61,87.37,77.66,61.05,256,981.35,257.90,90.50,50
38,7.7286,0.1546,209.56,253.93,1552.49,206.21,192,733.90,257.38,98.86,50
39,7.1980,0.1440,86.49,684.57,2525.74,361.16,256,793.46,266.35,98.41,50
40,7.0223,0.1404,88.73,87.37,366.09,73.36,256,873.61,297.23,97.78,50
41,5.4535,0.1091,18.61,87.37,77.66,61.05,256,749.64,260.63,99.44,50
42,4.8795,0.0976,88.73,87.37,366.09,73.36,256,966.76,293.28,86.48,50
43,8.8238,0.1765,46.37,497.22,1112.05,241.47,192,862.18,244.35,88.31,50
44,6.8101,0.1362,13.94,497.22,253.88,285.86,192,824.73,257.97,85.78,50
45,6.3738,0.1275,270.48,251.99,606.25,70.97,128,873.75,301.56,90.60,50
46,6.9488,0.1390,6.48,34.93,37.24,58.91,128,719.41,281.95,98.55,50
47,7.5401,0.1508,9.16,497.25,57.00,348.00,192,854.43,274.19,94.80,50
48,6.1767,0.1235,38.09,130.12,1085.72,271.61,128,815.89,296.49,99.03,50
49,6.8203,0.1364,34.82,43.06,311.97,69.16,256,871.41,307.00,97.35,50
50,6.4515,0.1290,46.37,497.22,1112.05,241.47,192,822.60,258.29,88.34,50
51,8.9931,0.1799,350.99,240.59,8941.61,352.63,192,756.27,246.25,100.00,50
52,6.7438,0.1349,34.82,43.06,311.97,69.16,256,771.27,218.36,91.18,50
53,7.4746,0.1495,45.52,69.96,274.59,70.22,192,887.18,264.79,89.30,50
54,7.6890,0.1538,88.73,87.37,366.09,73.36,256,905.57,306.60,91.70,50
55,6.7308,0.1346,28.50,69.96,77.57,64.44,192,758.97,276.03,98.45,50
56,4.4850,0.0897,122.70,251.99,1669.30,288.55,128,911.38,339.14,90.44,50
57,6.5361,0.1307,11.83,419.68,48.31,339.71,256,832.47,269.90,97.97,50
58,6.3650,0.1273,6.91,43.07,37.08,58.92,256,853.07,296.10,88.74,50
59,6.5225,0.1304,56.64,684.57,1098.59,334.86,256,885.94,309.04,97.48,50
60,6.8098,0.1362,22.12,497.22,468.13,209.53,192,916.38,296.94,88.75,50
61,8.1795,0.1636,52.15,251.99,112.82,59.78,128,874.11,308.53,85.08,50
62,6.5951,0.1319,7.30,69.96,37.71,59.15,192,987.20,281.72,98.63,50
63,7.7656,0.1553,47.59,419.71,971.03,299.40,256,857.66,276.83,100.00,50
64,7.1821,0.1436,8.66,684.55,44.57,333.95,256,944.70,291.01,94.74,50
65,7.5252,0.1505,44.85,87.36,241.79,65.72,256,853.54,282.47,100.00,50
66,6.1208,0.1224,9.80,87.36,47.17,58.91,256,773.71,259.70,89.58,50
67,8.8479,0.1770,9.89,34.92,52.92,59.67,128,906.15,271.25,85.93,50
68,6.4805,0.1296,270.48,251.99,606.25,70.97,128,981.14,276.70,99.35,50
69,4.1765,0.0835,6.48,34.93,37.24,58.91,128,873.94,286.75,97.12,50
70,7.1724,0.1434,96.56,130.12,634.08,183.01,128,808.99,261.96,100.00,50
71,7.3426,0.1469,29.62,684.57,503.88,225.55,256,847.51,240.05,99.45,50
72,8.1045,0.1621,22.12,497.22,468.13,209.53,192,887.77,266.92,94.51,50
73,9.2226,0.1845,161.86,240.59,3586.50,285.01,192,752.41,246.39,100.00,50
74,4.7256,0.0945,38.09,130.12,1085.72,271.61,128,793.83,309.12,100.00,50
75,7.9657,0.1593,12.33,69.96,60.39,60.13,192,818.11,267.56,97.66,50
76,6.0300,0.1206,56.64,684.57,1098.59,334.86,256,819.29,249.46,97.79,50
77,6.1354,0.1227,12.33,69.96,60.39,60.13,192,946.57,288.03,89.69,50
78,8.7709,0.1754,22.12,497.22,468.13,209.53,192,884.11,273.95,88.47,50
79,9.1576,0.1832,3.09,43.06,12.31,58.00,256,867.95,296.42,100.00,50
80,8.7420,0.1748,52.15,251.99,112.82,59.78,128,968.32,312.79,98.96,50
81,6.2417,0.1248,209.56,253.93,1552.49,206.21,192,869.39,292.22,87.68,50
82,7.8104,0.1562,20.02,43.06,183.09,63.56,256,952.07,290.97,98.43,50
83,6.3580,0.1272,8.66,684.55,44.57,333.95,256,804.74,305.67,92.74,50
84,7.5281,0.1506,3.36,58.20,9.04,55.93,128,957.89,273.77,98.15,50
85,7.9675,0.1593,10.88,240.60,23.56,56.70,192,821.00,241.05,94.34,50
86,5.0924,0.1018,46.37,497.22,1112.05,241.47,192,971.43,305.24,97.33,50
87,7.8126,0.1563,3.49,69.96,7.57,54.20,192,926.84,298.31,93.76,50
88,10.1623,0.2032,28.50,69.96,77.57,64.44,192,847.58,247.56,91.33,50
89,8.9481,0.1790,418.27,256.81,10192.40,333.47,192,920.37,299.44,89.71,50
90,7.2002,0.1440,44.85,87.36,241.79,65.72,256,947.00,302.23,92.76,50
91,9.4374,0.1887,45.52,69.96,274.59,70.22,192,814.02,247.75,94.64,50
92,8.3408,0.1668,9.80,87.36,47.17,58.91,256,898.76,328.45,97.17,50
93,8.6308,0.1726,13.94,497.22,253.88,285.86,192,881.41,288.42,97.90,50
94,7.5604,0.1512,44.85,87.36,241.79,65.72,256,788.35,254.37,97.87,50
95,8.9687,0.1794,3.09,43.06,12.31,58.00,256,829.55,249.87,97.02,50
96,4.9757,0.0995,2.99,34.93,11.75,57.47,128,896.57,286.89,89.38,50
97,8.3875,0.1677,3.36,58.20,9.04,55.93,128,770.71,288.73,97.82,50
98,8.0336,0.1607,44.85,87.36,241.79,65.72,256,934.02,280.78,94.29,50
99,7.9585,0.1592,11.83,419.68,48.31,339.71,256,882.10,253.21,89.11,50
100,7.6830,0.1537,161.86,240.59,3586.50,285.01,192,943.18,317.80,85.33,50
101,6.9816,0.1396,9.80,87.36,47.17,58.91,256,781.70,212.93,98.20,50
102,8.2344,0.1647,8.66,684.55,44.57,333.95,256,875.90,307.75,92.31,50
103,7.8981,0.1580,9.89,34.92,52.92,59.67,128,934.03,305.10,98.80,50
104,6.8926,0.1379,10.88,240.60,23.56,56.70,192,830.00,279.43,87.40,50
105,7.4652,0.1493,245.46,419.71,6992.43,398.38,256,942.49,309.11,91.55,50
106,6.6121,0.1322,38.09,130.12,1085.72,271.61,128,935.69,296.80,98.28,50
107,5.4345,0.1087,196.95,130.11,7756.61,394.46,128,881.93,291.98,100.00,50
108,9.4917,0.1898,47.59,419.71,971.03,299.40,256,821.62,261.04,91.25,50
109,8.5612,0.1712,8.66,684.55,44.57,333.95,256,850.02,269.62,97.69,50
110,7.3202,0.1464,20.02,43.06,183.09,63.56,256,901.03,292.82,87.99,50
111,6.2575,0.1252,32.17,58.23,225.79,69.23,128,916.28,319.76,99.40,50
112,6.0273,0.1205,19.81,58.23,110.01,63.17,128,932.88,286.95,89.16,50
113,7.1651,0.1433,11.83,419.68,48.31,339.71,256,990.83,255.17,93.50,50
114,7.9918,0.1598,9.89,34.92,52.92,59.67,128,784.48,271.67,85.66,50
115,6.9006,0.1380,96.56,130.12,634.08,183.01,128,861.16,280.00,86.48,50
116,7.6031,0.1521,52.15,251.99,112.82,59.78,128,850.34,271.06,92.36,50
117,7.0702,0.1414,88.73,87.37,366.09,73.36,256,931.33,278.53,93.19,50
118,8.5572,0.1711,7.30,69.96,37.71,59.15,192,875.84,281.27,98.82,50
119,7.4881,0.1498,270.48,251.99,606.25,70.97,128,784.15,259.71,94.25,50
