episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
1,6.3221,0.1264,22.12,497.22,468.13,209.53,192,815.59,250.26,91.21,50
2,7.7299,0.1546,9.89,34.92,52.92,59.67,128,962.09,294.86,85.86,50
3,7.4976,0.1500,45.52,69.96,274.59,70.22,192,964.51,260.54,99.50,50
4,4.9204,0.0984,12.33,69.96,60.39,60.13,192,856.67,299.86,100.00,50
5,6.3554,0.1271,34.82,43.06,311.97,69.16,256,949.28,308.81,86.88,50
6,6.6872,0.1337,10.88,240.60,23.56,56.70,192,855.03,285.96,97.24,50
7,6.4077,0.1282,52.15,251.99,112.82,59.78,128,941.85,315.49,89.32,50
8,6.9320,0.1386,8.26,130.13,35.35,239.43,128,830.21,273.62,100.00,50
9,5.5871,0.1117,176.15,497.22,2223.68,294.79,192,965.57,267.42,98.26,50
10,7.1804,0.1436,8.66,684.55,44.57,333.95,256,715.35,280.68,98.51,50
11,8.7229,0.1745,6.29,251.97,13.42,53.25,128,882.73,260.09,99.00,50
12,7.0526,0.1411,10.67,58.23,64.12,60.14,128,928.06,336.14,88.22,50
13,6.9823,0.1396,44.85,87.36,241.79,65.72,256,789.35,257.21,93.90,50
14,5.9854,0.1197,118.53,130.11,3499.14,360.50,128,759.67,278.03,100.00,50
15,8.1887,0.1638,350.99,240.59,8941.61,352.63,192,820.49,265.32,100.00,50
16,8.7010,0.1740,20.02,43.06,183.09,63.56,256,843.78,285.85,97.62,50
17,6.9342,0.1387,13.94,497.22,253.88,285.86,192,838.16,305.36,100.00,50
18,7.4642,0.1493,45.52,69.96,274.59,70.22,192,920.76,309.66,100.00,50
19,6.6418,0.1328,34.82,43.06,311.97,69.16,256,894.23,254.89,93.45,50
20,6.9333,0.1387,32.17,58.23,225.79,69.23,128,864.69,297.17,85.43,50
21,6.3187,0.1264,18.61,87.37,77.66,61.05,256,945.99,319.26,93.40,50
22,7.7008,0.1540,11.83,419.68,48.31,339.71,256,788.58,286.79,90.81,50
23,8.8880,0.1778,10.44,43.07,60.71,60.83,256,945.56,270.28,98.99,50
24,6.4937,0.1299,6.48,34.93,37.24,58.91,128,831.06,302.99,90.70,50
25,10.7020,0.2140,350.99,240.59,8941.61,352.63,192,797.51,256.19,97.08,50
26,7.4160,0.1483,176.15,497.22,2223.68,294.79,192,942.25,286.55,87.10,50
27,8.8006,0.1760,18.61,87.37,77.66,61.05,256,986.81,313.39,99.20,50
28,5.8018,0.1160,118.53,130.11,3499.14,360.50,128,919.10,309.55,92.31,50
29,8.7274,0.1745,44.85,87.36,241.79,65.72,256,882.12,274.60,89.67,50
30,7.9158,0.1583,118.53,130.11,3499.14,360.50,128,955.04,271.59,91.34,50
31,7.3068,0.1461,9.80,87.36,47.17,58.91,256,1019.00,334.78,86.63,50
32,10.3518,0.2070,96.56,130.12,634.08,183.01,128,920.94,308.61,93.24,50
33,9.8489,0.1970,7.30,69.96,37.71,59.15,192,746.04,266.66,100.00,50
34,7.7286,0.1546,45.52,69.96,274.59,70.22,192,850.10,283.06,94.83,50
