episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
1,5.5261,0.1105,38.09,130.12,1085.72,271.61,128,896.58,277.31,100.00,50
2,6.1129,0.1223,96.56,130.12,634.08,183.01,128,923.52,294.20,90.10,50
3,7.3214,0.1464,38.09,130.12,1085.72,271.61,128,894.32,268.71,91.31,50
4,5.9230,0.1185,2.99,34.93,11.75,57.47,128,922.17,316.60,98.29,50
5,6.1365,0.1227,270.48,251.99,606.25,70.97,128,804.69,278.20,93.26,50
6,6.4909,0.1298,122.70,251.99,1669.30,288.55,128,945.32,290.76,93.86,50
7,6.8628,0.1373,11.83,419.68,48.31,339.71,256,911.11,296.82,92.52,50
8,3.8144,0.0763,34.82,43.06,311.97,69.16,256,831.17,271.63,93.62,50
9,5.4592,0.1092,7.30,69.96,37.71,59.15,192,965.42,303.28,88.22,50
10,7.2634,0.1453,122.70,251.99,1669.30,288.55,128,855.71,286.10,97.38,50
11,9.1291,0.1826,8.66,684.55,44.57,333.95,256,911.65,271.25,89.47,50
12,8.0643,0.1613,8.26,130.13,35.35,239.43,128,890.27,242.32,97.88,50
13,8.6596,0.1732,19.81,58.23,110.01,63.17,128,763.95,241.27,94.61,50
14,8.2134,0.1643,13.94,497.22,253.88,285.86,192,1002.05,309.61,98.80,50
15,7.5101,0.1502,8.26,130.13,35.35,239.43,128,937.24,256.63,94.49,50
16,6.4643,0.1293,3.51,87.35,9.74,56.62,256,801.62,255.80,98.84,50
17,7.3306,0.1466,7.30,69.96,37.71,59.15,192,878.32,272.99,97.69,50
18,6.6763,0.1335,6.48,34.93,37.24,58.91,128,858.50,294.82,97.83,50
19,4.9089,0.0982,10.88,240.60,23.56,56.70,192,983.33,293.04,91.22,50
20,8.4699,0.1694,56.64,684.57,1098.59,334.86,256,901.82,305.72,90.22,50
21,7.0572,0.1411,11.83,419.68,48.31,339.71,256,884.01,263.06,97.76,50
22,7.7143,0.1543,6.29,251.97,13.42,53.25,128,904.99,306.56,100.00,50
23,8.1173,0.1623,270.48,251.99,606.25,70.97,128,989.25,295.58,91.13,50
24,6.4342,0.1287,82.55,419.70,2182.61,321.10,256,841.23,276.23,94.91,50
25,8.5449,0.1709,6.91,43.07,37.08,58.92,256,938.34,315.08,93.15,50
26,10.4269,0.2085,3.49,69.96,7.57,54.20,192,905.31,299.12,98.06,50
27,8.8730,0.1775,38.09,130.12,1085.72,271.61,128,789.99,279.35,97.45,50
28,8.3562,0.1671,20.02,43.06,183.09,63.56,256,901.68,277.19,98.36,50
29,9.1037,0.1821,8.66,684.55,44.57,333.95,256,850.46,284.36,94.56,50
30,8.3350,0.1667,350.99,240.59,8941.61,352.63,192,912.71,280.98,98.68,50
31,8.8433,0.1769,15.82,684.57,279.82,279.23,256,901.05,288.31,97.10,50
32,9.4440,0.1889,52.15,251.99,112.82,59.78,128,677.22,238.28,88.80,50
33,9.1505,0.1830,20.02,43.06,183.09,63.56,256,781.20,241.87,99.40,50
34,10.4230,0.2085,245.46,419.71,6992.43,398.38,256,826.63,248.72,97.29,50
35,9.9478,0.1990,45.52,69.96,274.59,70.22,192,967.61,324.92,99.46,50
36,7.5707,0.1514,22.12,497.22,468.13,209.53,192,957.05,286.63,99.42,50
37,8.0453,0.1609,7.30,69.96,37.71,59.15,192,746.24,251.63,100.00,50
38,10.9863,0.2197,3.09,43.06,12.31,58.00,256,924.52,288.11,97.88,50
39,5.5115,0.1102,38.09,130.12,1085.72,271.61,128,846.41,296.16,98.47,50
40,9.3174,0.1863,20.02,43.06,183.09,63.56,256,847.44,289.92,98.47,50
41,9.7197,0.1944,7.30,69.96,37.71,59.15,192,995.15,314.80,92.53,50
42,9.0255,0.1805,47.59,419.71,971.03,299.40,256,851.26,286.15,100.00,50
43,10.0968,0.2019,270.48,251.99,606.25,70.97,128,903.09,298.97,92.16,50
44,10.3913,0.2078,3.09,43.06,12.31,58.00,256,994.39,293.35,94.55,50
45,9.6406,0.1928,6.29,251.97,13.42,53.25,128,839.94,288.12,90.76,50
46,11.5469,0.2309,321.28,419.71,9746.25,405.04,256,793.48,285.22,98.27,50
47,8.2183,0.1644,176.15,497.22,2223.68,294.79,192,918.47,314.33,90.07,50
48,9.8726,0.1975,34.82,43.06,311.97,69.16,256,963.41,297.71,97.03,50
49,9.6867,0.1937,106.77,251.99,218.08,62.87,128,773.19,295.79,100.00,50
50,9.0767,0.1815,96.56,130.12,634.08,183.01,128,974.98,303.81,97.94,50
51,10.9341,0.2187,106.77,251.99,218.08,62.87,128,723.59,247.12,99.49,50
52,9.8248,0.1965,3.09,43.06,12.31,58.00,256,972.48,288.16,88.75,50
53,12.2477,0.2450,9.16,497.25,57.00,348.00,192,787.61,255.30,90.28,50
54,11.1682,0.2234,45.52,69.96,274.59,70.22,192,878.56,275.76,97.59,50
55,11.6806,0.2336,56.64,684.57,1098.59,334.86,256,835.89,251.14,97.54,50
56,10.3203,0.2064,9.89,34.92,52.92,59.67,128,872.58,286.68,99.46,50
57,11.4176,0.2284,52.15,251.99,112.82,59.78,128,821.31,238.57,86.99,50
58,11.5300,0.2306,82.55,419.70,2182.61,321.10,256,841.32,266.62,89.76,50
59,12.7142,0.2543,46.37,497.22,1112.05,241.47,192,726.91,272.37,88.43,50
60,12.8891,0.2578,3.09,43.06,12.31,58.00,256,723.60,257.39,98.87,50
61,11.0692,0.2214,86.49,684.57,2525.74,361.16,256,780.71,230.20,97.37,50
62,10.0474,0.2009,9.16,497.25,57.00,348.00,192,984.35,317.42,98.69,50
63,13.2250,0.2645,15.82,684.57,279.82,279.23,256,835.24,268.95,98.45,50
64,11.9871,0.2397,88.73,87.37,366.09,73.36,256,881.39,293.72,98.00,50
65,12.6706,0.2534,19.81,58.23,110.01,63.17,128,831.38,264.88,94.32,50
66,11.9701,0.2394,19.81,58.23,110.01,63.17,128,916.75,272.49,97.54,50
67,15.0146,0.3003,29.62,684.57,503.88,225.55,256,751.54,270.27,98.04,50
68,13.2529,0.2651,29.62,684.57,503.88,225.55,256,824.59,292.21,98.97,50
69,12.0557,0.2411,96.56,130.12,634.08,183.01,128,801.37,281.77,100.00,50
70,10.3961,0.2079,3.09,43.06,12.31,58.00,256,789.69,275.14,92.26,50
71,12.9391,0.2588,88.73,87.37,366.09,73.36,256,764.09,261.62,94.41,50
72,13.3686,0.2674,20.02,43.06,183.09,63.56,256,730.33,236.09,100.00,50
73,12.9622,0.2592,29.62,684.57,503.88,225.55,256,820.10,295.60,98.60,50
74,12.2244,0.2445,15.82,684.57,279.82,279.23,256,759.63,242.31,85.52,50
75,12.7652,0.2553,15.82,684.57,279.82,279.23,256,806.60,255.98,91.32,50
76,12.9098,0.2582,6.48,34.93,37.24,58.91,128,871.28,263.54,100.00,50
77,9.1690,0.1834,52.15,251.99,112.82,59.78,128,852.49,283.62,94.60,50
78,12.7981,0.2560,19.81,58.23,110.01,63.17,128,837.78,274.01,88.31,50
79,13.5127,0.2703,8.66,684.55,44.57,333.95,256,808.07,289.51,98.10,50
80,13.7178,0.2744,13.94,497.22,253.88,285.86,192,847.51,290.00,85.03,50
81,12.9042,0.2581,15.82,684.57,279.82,279.23,256,820.56,273.55,100.00,50
82,13.7933,0.2759,56.64,684.57,1098.59,334.86,256,757.67,280.61,86.82,50
83,14.1041,0.2821,10.44,43.07,60.71,60.83,256,701.04,250.98,100.00,50
84,16.5002,0.3300,3.09,43.06,12.31,58.00,256,593.92,205.74,100.00,50
85,13.5421,0.2708,10.88,240.60,23.56,56.70,192,724.99,241.17,98.10,50
86,12.1996,0.2440,2.99,34.93,11.75,57.47,128,850.17,243.24,98.81,50
87,15.0747,0.3015,245.46,419.71,6992.43,398.38,256,556.91,209.00,100.00,50
88,14.9376,0.2988,29.62,684.57,503.88,225.55,256,855.16,321.10,89.18,50
89,14.6974,0.2939,86.49,684.57,2525.74,361.16,256,911.92,222.44,98.10,50
90,15.1316,0.3026,56.64,684.57,1098.59,334.86,256,761.58,244.42,91.69,50
91,12.4723,0.2494,29.62,684.57,503.88,225.55,256,796.48,279.38,98.13,50
92,15.1700,0.3034,161.86,240.59,3586.50,285.01,192,566.09,204.12,98.05,50
93,13.3701,0.2674,46.37,497.22,1112.05,241.47,192,836.99,281.06,92.03,50
94,14.4713,0.2894,7.30,69.96,37.71,59.15,192,704.43,250.43,100.00,50
95,13.9505,0.2790,3.51,87.35,9.74,56.62,256,881.54,270.80,98.86,50
