episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
1,7.8345,0.1567,350.99,240.59,8941.61,352.63,192,0.00,0.00,100.00,50
2,6.2742,0.1255,8.26,130.13,35.35,239.43,128,0.00,0.00,100.00,50
3,6.2687,0.1254,29.62,684.57,503.88,225.55,256,0.00,0.00,100.00,50
4,6.5850,0.1317,418.27,256.81,10192.40,333.47,192,0.00,0.00,100.00,50
5,7.1650,0.1433,7.30,69.96,37.71,59.15,192,0.00,0.00,100.00,50
6,5.8409,0.1168,34.82,43.06,311.97,69.16,256,0.00,0.00,100.00,50
7,5.7855,0.1157,15.82,684.57,279.82,279.23,256,0.00,0.00,100.00,50
8,7.2476,0.1450,56.64,684.57,1098.59,334.86,256,0.00,0.00,100.00,50
9,4.2409,0.0848,6.46,58.23,31.99,59.05,128,0.00,0.00,100.00,50
10,5.2666,0.1053,12.33,69.96,60.39,60.13,192,0.00,0.00,100.00,50
11,5.9179,0.1184,9.16,497.25,57.00,348.00,192,0.00,0.00,100.00,50
12,6.3657,0.1273,9.16,497.25,57.00,348.00,192,0.00,0.00,100.00,50
13,4.4195,0.0884,245.46,419.71,6992.43,398.38,256,0.00,0.00,100.00,50
14,5.8931,0.1179,270.48,251.99,606.25,70.97,128,0.00,0.00,100.00,50
15,7.4178,0.1484,56.64,684.57,1098.59,334.86,256,0.00,0.00,100.00,50
16,6.3519,0.1270,86.49,684.57,2525.74,361.16,256,0.00,0.00,100.00,50
17,6.5952,0.1319,32.17,58.23,225.79,69.23,128,0.00,0.00,100.00,50
18,3.3349,0.0667,418.27,256.81,10192.40,333.47,192,0.00,0.00,100.00,50
19,4.1548,0.0831,270.48,251.99,606.25,70.97,128,0.00,0.00,100.00,50
20,5.1068,0.1021,106.77,251.99,218.08,62.87,128,0.00,0.00,100.00,50
21,7.5629,0.1513,46.37,497.22,1112.05,241.47,192,0.00,0.00,100.00,50
22,5.1387,0.1028,10.67,58.23,64.12,60.14,128,0.00,0.00,100.00,50
23,6.8180,0.1364,47.59,419.71,971.03,299.40,256,0.00,0.00,100.00,50
24,7.2515,0.1450,96.56,130.12,634.08,183.01,128,0.00,0.00,100.00,50
25,3.9325,0.0787,176.15,497.22,2223.68,294.79,192,0.00,0.00,100.00,50
26,6.1313,0.1226,46.37,497.22,1112.05,241.47,192,0.00,0.00,100.00,50
27,6.6170,0.1323,7.30,69.96,37.71,59.15,192,0.00,0.00,100.00,50
28,8.2384,0.1648,44.85,87.36,241.79,65.72,256,0.00,0.00,100.00,50
29,5.3711,0.1074,45.52,69.96,274.59,70.22,192,0.00,0.00,100.00,50
30,7.8779,0.1576,15.82,684.57,279.82,279.23,256,0.00,0.00,100.00,50
31,6.8269,0.1365,7.30,69.96,37.71,59.15,192,0.00,0.00,100.00,50
32,7.0657,0.1413,19.81,58.23,110.01,63.17,128,0.00,0.00,100.00,50
33,4.6052,0.0921,6.29,251.97,13.42,53.25,128,0.00,0.00,100.00,50
34,4.5687,0.0914,8.26,130.13,35.35,239.43,128,0.00,0.00,100.00,50
35,7.0907,0.1418,44.85,87.36,241.79,65.72,256,0.00,0.00,100.00,50
36,7.4101,0.1482,88.73,87.37,366.09,73.36,256,0.00,0.00,100.00,50
37,8.7301,0.1746,2.99,34.93,11.75,57.47,128,0.00,0.00,100.00,50
38,4.5200,0.0904,45.52,69.96,274.59,70.22,192,0.00,0.00,100.00,50
39,6.3425,0.1269,10.67,58.23,64.12,60.14,128,0.00,0.00,100.00,50
40,9.1320,0.1826,418.27,256.81,10192.40,333.47,192,0.00,0.00,100.00,50
41,5.7354,0.1147,29.62,684.57,503.88,225.55,256,0.00,0.00,100.00,50
42,7.8487,0.1570,46.37,497.22,1112.05,241.47,192,0.00,0.00,100.00,50
43,7.1745,0.1435,3.49,69.96,7.57,54.20,192,0.00,0.00,100.00,50
44,7.2095,0.1442,245.46,419.71,6992.43,398.38,256,0.00,0.00,100.00,50
45,4.4063,0.0881,7.30,69.96,37.71,59.15,192,0.00,0.00,100.00,50
46,5.2848,0.1057,2.99,34.93,11.75,57.47,128,0.00,0.00,100.00,50
47,5.8325,0.1166,3.09,43.06,12.31,58.00,256,0.00,0.00,100.00,50
48,8.8787,0.1776,209.56,253.93,1552.49,206.21,192,0.00,0.00,100.00,50
49,5.9992,0.1200,270.48,251.99,606.25,70.97,128,0.00,0.00,100.00,50
50,6.8295,0.1366,6.46,58.23,31.99,59.05,128,0.00,0.00,100.00,50
51,4.4440,0.0889,209.56,253.93,1552.49,206.21,192,0.00,0.00,100.00,50
52,6.9102,0.1382,122.70,251.99,1669.30,288.55,128,0.00,0.00,100.00,50
53,7.3387,0.1468,8.26,130.13,35.35,239.43,128,0.00,0.00,100.00,50
54,3.9518,0.0790,418.27,256.81,10192.40,333.47,192,0.00,0.00,100.00,50
55,8.0662,0.1613,13.94,497.22,253.88,285.86,192,0.00,0.00,100.00,50
