algorithm,key_size,nist_level,security_bits,users,sign_mean_ms,sign_std_ms,verify_mean_ms,verify_std_ms,token_size,signature_size,latency_mean_ms,latency_std_ms,throughput_mean_rps,throughput_std_rps,failures,cpu_mean_m,cpu_std_m,memory_mean_mi,memory_std_mi,threat_level,reward
ML-DSA-44,mldsa44,2,128,1,0.4493,0.2633,0.2929,0.1695,3409,2420,3.363,1.9501,58.2013,33.6026,0.0,9.0357,5.3031,55.9286,32.3346,0,0.011586527030535707
ML-DSA-44,mldsa44,2,128,50,0.4032,0.2332,0.0977,0.0564,3409,2420,6.4647,3.7478,58.2326,33.6206,0.0,31.9881,19.4049,59.0476,34.0914,0,0.008997622772377676
ML-DSA-44,mldsa44,2,128,100,0.339,0.1957,0.0889,0.0513,3409,2420,10.6657,6.181,58.2323,33.6204,0.0,64.1207,38.9649,60.1428,34.7245,0,0.006347424904645753
ML-DSA-44,mldsa44,2,128,250,0.3348,0.1933,0.0856,0.0494,3409,2420,19.8104,11.4458,58.2315,33.6199,0.0,110.0116,64.3658,63.1724,36.4761,0,0.0006310887599093092
ML-DSA-44,mldsa44,2,128,500,0.3255,0.1879,0.0832,0.0481,3409,2420,32.1708,18.5848,58.2314,33.6199,0.0,225.7933,130.4634,69.2299,39.9864,0,-0.008180509427545071
ML-DSA-65,mldsa65,3,192,1,0.6158,0.3582,0.4484,0.259,4594,3309,3.4886,2.0183,69.9637,40.3936,0.0,7.5714,4.3811,54.2024,31.447,1,0.0933680924013495
ML-DSA-65,mldsa65,3,192,50,0.5416,0.3127,0.1404,0.0811,4594,3309,7.2957,4.2132,69.964,40.3937,0.0,37.7135,22.073,59.1531,34.1523,1,0.08983148537297177
ML-DSA-65,mldsa65,3,192,100,0.523,0.3021,0.1286,0.0743,4594,3309,12.3312,7.1237,69.9589,40.3908,0.0,60.3929,35.0049,60.131,34.7183,1,0.08690296413091242
ML-DSA-65,mldsa65,3,192,250,0.5092,0.2941,0.1408,0.0813,4594,3309,28.5048,16.5811,69.9603,40.3916,0.0,77.5747,59.3138,64.4438,37.214,1,0.07771978483331496
ML-DSA-65,mldsa65,3,192,500,0.4932,0.2847,0.1294,0.0747,4594,3309,45.5196,26.3017,69.9635,40.3934,0.0,274.5863,161.425,70.2184,40.5544,1,0.06595125055305157
